Date,Suhu_Rata_rata,Kelembaban_Rata_rata,Curah_Hujan,Kecepatan_Angin_Rata_rata
2013-11-21,27.9,77,65,5
2013-11-22,27.5,79,5,3
2013-11-23,27.8,73,0,2
2013-11-24,27.5,79,0,2
2013-11-25,27.9,80,8888,2
2013-11-26,27.5,81,13,2
2013-11-27,25.9,90,4,1
2013-11-28,27.8,78,29,2
2013-11-29,24.7,90,21,2
2013-11-30,27.1,75,4,2
2013-12-01,27.4,76,0,3
2013-12-02,28.7,70,0,2
2013-12-03,28.1,74,0,2
2013-12-04,28,77,0,2
2013-12-05,28,79,0,2
2013-12-06,28.4,78,0,2
2013-12-07,27.6,86,2,3
2013-12-08,27.9,83,8888,2
2013-12-09,27.6,84,0,2
2013-12-10,28.3,80,1,3
2013-12-11,28.1,83,0,2
2013-12-12,26.5,90,9,2
2013-12-13,27.3,84,3,2
2013-12-14,27,85,6,2
2013-12-15,27.1,86,0,2
2013-12-16,26.5,88,18,2
2013-12-17,27,82,103,2
2013-12-18,26.7,83,0,2
2013-12-19,27.7,84,8888,3
2013-12-20,27.1,88,25,2
2013-12-21,26.8,89,20,2
2013-12-22,26.3,92,9,3
2013-12-23,25.3,92,63,5
2013-12-24,26.8,86,92,3
2013-12-25,26.6,87,59,5
2013-12-26,28.5,72,9,6
2013-12-27,28.3,73,0,7
2013-12-28,28.5,76,1,7
2013-12-29,28.5,76,1,6
2013-12-30,28.5,84,7,4
2013-12-31,27.2,88,11,4
2014-01-01,25.2,91,79,5
2014-01-02,25.4,92,107,3
2014-01-03,27.2,84,23,2
2014-01-04,27,86,1,2
2014-01-05,26.7,84,1,2
2014-01-06,27.9,81,0,3
2014-01-07,28,82,0,1
2014-01-08,27.7,87,9,3
2014-01-09,29.1,80,1,5
2014-01-10,27.4,82,9,3
2014-01-11,27.8,80,0,2
2014-01-12,27.4,80,5,2
2014-01-13,27,87,1,5
2014-01-14,26.8,85,96,8
2014-01-15,28.4,81,42,9
2014-01-16,28.2,83,6,8
2014-01-17,28.9,77,1,7
2014-01-18,28.8,78,0,4
2014-01-19,28.5,80,1,6
2014-01-20,28.5,79,8,7
2014-01-21,28.4,78,5,8
2014-01-22,28.3,76,17,6
2014-01-23,26.7,85,24,4
2014-01-24,26.6,85,84,3
2014-01-25,26.6,80,4,5
2014-01-26,27.6,80,16,5
2014-01-27,27.5,82,2,5
2014-01-28,28.1,74,6,5
2014-01-29,28.4,77,0,6
2014-01-30,28.7,78,0,8
2014-01-31,27.7,83,4,9
2014-02-01,28.9,75,6,8
2014-02-02,28.8,74,8888,4
2014-02-03,27.7,82,20,3
2014-02-04,27.3,84,35,3
